Date,Tweet,Stock Name,Company Name,cleaned
2022-09-26 00:01:01+00:00,"$TSLA - Above 273 - Trade Idea 💡 - Sept 30 280C 

Closed at 275.33

Let's see if TSLA can bottom near 273 and set up for a bounce to 285 this week

Puts can work under 273/268
-
$AAPL $ARKK $AMD $AMZN $BA $META $MSFT $NFLX $NIO $ES_F $NVDA $QQQ $MDB $SPX $SPY $TGT $TSLA $ZM https://t.co/YDzsHtucOu",BA,The Boeing Company,tsla trade idea light bulb sept close let's see tsla bottom near set bounce week put work aapl arkk amd amzn meta msft nflx nio es_f nvda qqq mdb spx spy tgt tsla
2022-09-25 02:00:37+00:00,"Boeing $BA Stock Drops as the Company Agrees to Pay $200 Million to Resolve Sec Allegations Connected to 737 Max Crashes 📉

#BoeingCompany #BA #Stocks #StockMarket #Investing https://t.co/E2hYwWYbrL",BA,The Boeing Company,boeing stock drop company agrees pay million resolve sec allegation connect max crash chart decrease boeingcompany stock stockmarket invest
2022-09-23 06:55:00+00:00,"🐳 news:

- $AAPL x NFL superbowl
- Stock trading ban framework for politicians
- SEC x $BA
- Fraudsters stole $45.6B from US unemployment
- Cathie Wood step down $PRNT, $IZRL
- Reverse repos record
- DISCLOSE Act failed
- BOE: UK ~recession
- Futures: https://t.co/nH5RI94Tsz https://t.co/qlRZrhQjna",BA,The Boeing Company,spout whale news aapl nfl superbowl stock trading ban framework politician sec fraudsters stole unemployment cathie wood step prnt izrl reverse repos record disclose act fail boe recession future
2022-09-22 21:24:13+00:00,Here's the 34 S&amp;P 500 stocks with market caps above $20 billion that are now down over the last 5 years on a total return basis.  $META $BKNG $SLB $WFC $C $GILD $BA $GE $MMM $FDX $DD $INTC https://t.co/Ue5QQSDsFA,BA,The Boeing Company,here's stock market cap billion last year total return basis meta bkng slb wfc gild mmm fdx intc
2022-09-22 21:09:08+00:00,JUST IN: The @usairforce has awarded @RaytheonTech a $985M contract to continue development of the Hypersonic Attack Cruise Missile. $RTX beat @LockheedMartin and @Boeing $BA $LMT https://t.co/F1J8RFfYzG,BA,The Boeing Company,award contract continue development hypersonic attack cruise missile rtx beat lmt
2022-09-22 20:48:44+00:00,"SEC says Boeing, $BA, to pay $200 million to settle SEC charges that it misled investors about 737 max.",BA,The Boeing Company,sec say boeing pay million settle sec charge mislead investor max
2022-09-15 19:15:05+00:00,"Alan Lowenthal (D) CA sits on the Transportation Committee

His wife made some well timed trades on Boeing, $BA

On Mar 5 2020 she sold ~30K of $BA shares
One day later his committee releases damaging findings on the 737 Jet

$BA went onto fall 35%+ in a week",BA,The Boeing Company,alan lowenthal sits transportation committee wife make well time trade boeing mar sell share one day later committee release damage finding jet go onto fall week
2022-09-15 14:00:51+00:00,"Boeing Company $BA Wins $506 Million Contract to Maintain GMD Infrastructure 🙌💸

https://t.co/pC3hDJgKFV

#BoeingCompany #BA #StockMarket #investing #stocks",BA,The Boeing Company,boeing company win million contract maintain gmd infrastructure raise hand money wing boeingcompany stockmarket invest stock
2022-09-08 00:47:51+00:00,"⚡️Watchlist for 9/8/22⚡️

✅ $SPY 
📈Calls Over 400
📉Puts Under 393

💻 $NVDA
📈Calls Over 140
📉Puts Under 132.70 

✨ $GOOG 
📈Calls over 112
📉Puts Under 110

🚗 $TSLA 
📈C &gt; 285
📉P &lt; 275

🖨️ $BA 
📈C &gt; 157
📉P &lt; 155

💰TURN 🔔 ON + BE READY💸 

🔥WE WILL BANK TOMORROW!!",BA,The Boeing Company,high voltage ️watchlist high voltage check mark button spy chart increase call chart decrease ut laptop nvda chart increase call chart decrease ut sparkle goog chart increase call chart decrease ut automobile tsla chart increase chart decrease rinter chart increase chart decrease money bag turn bell ready money wing fire bank tomorrow
2022-09-06 00:09:45+00:00,"⚡️Weekly Watchlist⚡️

✅ $SPY 
📈Calls Over 394
📉Puts Under 390

📲 $AAPL
📈Calls Over 157.5
📉Puts Under 155

💻 $NVDA
📈Calls Over 140
📉Puts Under 135

🎥 $BA
📈C &gt; 153
📉P &lt; 149.3

🚨 250 ❤️ for my FAV setup  ✅

💰TURN 🔔 ON + BE READY💸 

🔥WE WILL BANK THIS WEEK 🔥",BA,The Boeing Company,high voltage ️weekly watchlist high voltage check mark button spy chart increase call chart decrease ut mobile phone arrow aapl chart increase call chart decrease ut laptop nvda chart increase call chart decrease ut movie camera chart increase chart decrease olice car light red heart fav setup check mark button money bag turn bell ready money wing fire bank week fire
